example_id                                           | status | run_time        |
---------------------------------------------------- | ------ | --------------- |
./spec/controllers/cards_controller_spec.rb[1:1:1]   | passed | 0.03289 seconds |
./spec/controllers/cards_controller_spec.rb[1:1:2]   | passed | 0.01537 seconds |
./spec/controllers/cards_controller_spec.rb[1:2:1:1] | passed | 0.0335 seconds  |
./spec/controllers/cards_controller_spec.rb[1:2:2:1] | passed | 0.06964 seconds |
./spec/requests/cards_request_spec.rb[1:1:1:1]       | passed | 0.00572 seconds |
./spec/requests/cards_request_spec.rb[1:1:1:2]       | passed | 0.00965 seconds |
./spec/requests/cards_request_spec.rb[1:1:2:1]       | passed | 0.00597 seconds |
./spec/requests/cards_request_spec.rb[1:1:2:2]       | passed | 0.09354 seconds |
./spec/requests/cards_request_spec.rb[1:1:3:1]       | passed | 0.01029 seconds |
./spec/requests/cards_request_spec.rb[1:1:3:2]       | passed | 0.00542 seconds |
./spec/requests/cards_request_spec.rb[1:1:4:1]       | passed | 0.02971 seconds |
./spec/requests/cards_request_spec.rb[1:1:4:2]       | passed | 0.00557 seconds |
./spec/services/judge_service_spec.rb[1:1:1:1]       | passed | 0.00461 seconds |
./spec/services/judge_service_spec.rb[1:1:2:1]       | passed | 0.01171 seconds |
./spec/services/judge_service_spec.rb[1:1:3:1]       | passed | 0.00457 seconds |
./spec/services/judge_service_spec.rb[1:1:4:1]       | passed | 0.0082 seconds  |
./spec/services/judge_service_spec.rb[1:1:5:1]       | passed | 0.00392 seconds |
./spec/services/judge_service_spec.rb[1:1:6:1]       | passed | 0.00497 seconds |
./spec/services/judge_service_spec.rb[1:1:7:1]       | passed | 0.00354 seconds |
./spec/services/judge_service_spec.rb[1:1:8:1]       | passed | 0.00826 seconds |
./spec/services/judge_service_spec.rb[1:2:1:1]       | passed | 0.00447 seconds |
./spec/services/judge_service_spec.rb[1:2:2:1]       | passed | 0.00634 seconds |
./spec/services/judge_service_spec.rb[1:2:3:1]       | passed | 0.00388 seconds |
./spec/services/judge_service_spec.rb[1:2:4:1]       | passed | 0.00763 seconds |
./spec/services/judge_service_spec.rb[1:2:5:1]       | passed | 0.00757 seconds |
./spec/services/judge_service_spec.rb[1:2:6:1]       | passed | 0.007 seconds   |
./spec/services/judge_service_spec.rb[1:2:7:1]       | passed | 0.00737 seconds |
./spec/services/judge_service_spec.rb[1:2:8:1]       | passed | 0.00404 seconds |
./spec/services/judge_service_spec.rb[1:2:9:1]       | passed | 0.00391 seconds |
